codigo_classe;nome_da_classe;situacao
1425;Prestação de Contas Infância e Juventude;A
1430;Processo de Execução;A
1432;Execução de Alimentos Infância e Juventude;A
1434;Execução de Medida de Proteção à Criança e Adolescente;A
1435;Execução de Multa;A
1436;Processos Cautelares;A
1438;Busca e Apreensão Infância e Juventude;A
1440;Cautelar Inominada Infância e Juventude;A
1450;Cartas;A
1451;Carta de Ordem Infância e Juventude;A
1455;Carta Precatória Infância e Juventude;A
1459;Seção Infracional;A
1460;Procedimentos Investigatórios;A
1461;Auto de Apreensão em Flagrante;A
1462;Relatório de Investigações;A
1463;Boletim de Ocorrência Circunstanciada;A
1464;Processo de Apuração de Ato Infracional;A
1465;Execução de Medidas Socioeducativas;A
1473;Cartas;A
1474;Carta de Ordem Infracional;A
1478;Carta Precatória Infracional;A
1669;Ação Rescisória;A
1670;Ação de Improbidade Administrativa;A
1671;Comunicação;A
1672;Exceção de Impedimento;A
1673;Exceção de Suspeição;A
1674;Intervenção Federal;A
1675;Mandado de Injunção;A
1677;Precatório;A
1678;Revisão Criminal;A
1679;Suspensão de Segurança;A
1680;Consulta Administrativa;A
1682;Retificação ou Suprimento ou Restauração de Registro Civil;A
1683;Retificação de Registro de Imóvel;A
1685;Remessa Necessária Trabalhista;A
1689;Embargos de Declaração Cível;A
1690;Ação Civil Pública Infância e Juventude;A
1691;Mandado de Segurança Infância e Juventude Cível;A
1701;Nomeação de Advogado;A
1703;Autorização judicial;A
1704;Embargos de Terceiro Infância e Juventude;A
1705;Remoção, modificação  e dispensa de tutor ou curador;A
1706;Procedimento Comum Infância e Juventude;A
1707;Reintegração / Manutenção de Posse;A
1709;Interdito Proibitório;A
1710;Mandado de Segurança Criminal;A
1711;Agravo de Instrumento em Recurso Especial;A
1715;Embargos do Acusado;A
1717;Alienação de Bens do Acusado;A
1719;Avaliação para atestar dependência de drogas;A
1720;Habeas Corpus;A
1721;Recurso Ordinário em Mandado de Segurança;A
1722;Recurso Ordinário em Habeas Corpus;A
1727;Petição Criminal;A
1728;Apelação / Remessa Necessária;A
1729;Agravo Interno Criminal;A
1730;Recurso Ordinário Criminal;A
1731;Investigação contra magistrado;A
1733;Procedimento Investigatório Criminal (PIC-MP) ;A
10933;Habilitação para Adoção;A
10942;Correição Parcial Cível;A
10943;Ação Penal - Procedimento Sumário;A
10944;Ação Penal - Procedimento Sumaríssimo;A
10960;Incidente de Sanidade Mental;A
10967;Medidas de Proteção à Pessoa Idosa - Criminal;A
10969;Incidentes;A
10970;Conflito de Competência Infância e Juventude;A
10972;Exibição de Documento ou Coisa Infância e Juventude;A
10973;Impugnação ao Valor da Causa Infância e Juventude;A
10974;Incidente de Falsidade Infância e Juventude;A
10979;Petição Infracional;A
10980;Cumprimento Provisório de Decisão;A
11026;Petição Infância e Juventude Cível;A
11027;Remessa Necessária / Recurso Ordinário;A
11028;PROCESSO MILITAR;A
11029;PROCEDIMENTOS ESPECIAIS PREVISTOS EM LEIS ESPARSAS;A
11030;PROCESSO CRIMINAL;A
11031;Procedimento Especial;A
11032;Procedimentos Investigatórios;A
11033;Recursos;A
11034;Conselho de Justificação ;A
11035;Representação p/ Declaração de Indignidade/Incompatibilidade ;A
11036;Representação p/ Perda da Graduação ;A
11037;Ação Penal Militar - Procedimento Ordinário;A
11038;Embargos em Ação Penal Militar;A
11039;Reclamação Militar;A
11040;Recurso Inominado Militar;A
11041;Inquérito Policial Militar;A
11042;Correição Parcial Militar;A
11043;Deserção;A
11044;Insubmissão;A
11045;Deserção de Oficial;A
11046;Deserção de Praça;A
11099;PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS;A
11397;Extinção das obrigações do falido;A
11398;Recurso em sentido estrito/Recurso ex officio;A
11400;Agravo de Instrumento em Recurso Ordinário para o STF;A
11427;PROCESSO ELEITORAL;A
11525;Processos Cíveis-Eleitorais;A
11526;Ação de Impugnação de Mandato Eletivo;A
11527;Ação de Investigação Judicial Eleitoral;A
11528;Ação Penal Eleitoral;A
11529;Procedimentos Relativos a Realização de Eleição;A
11530;Apuração de Eleição;A
11532;Registro de Candidatura;A
11533;Recurso contra Expedição de Diploma;A
11534;Procedimentos Relativos a Partidos Políticos;A
11535;Cancelamento de Registro de Partido Político;A
11536;Propaganda Partidária;A
11537;Registro de Órgão de Partido Político em Formação;A
11539;Registro de Partido Político;A
11540;Procedimentos Administrativos da Justiça Eleitoral;A
11541;Representação;A
11542;Correição;A
11543;Criação de Zona Eleitoral ou Remanejamento;A
11544;Instrução;A
11545;Lista Tríplice;A
11546;Revisão de Eleitorado;A
11547;Recursos Eleitorais;A
11548;Recurso Eleitoral;A
11549;Recurso Especial Eleitoral;A
11550;Recurso Ordinário Eleitoral;A
11551;Consulta;A
11552;Pedido de Desaforamento;A
11555;Suspensão de Liminar e de Sentença;A
11556;Suspensão de Segurança Cível;A
11788;Exibição de Documento ou Coisa Criminal;A
11791;Pedido de Uniformização de Interpretação de Lei Criminal;A
11793;Produção Antecipada de Provas Criminal;A
11794;Restituição de Coisas Apreendidas Infracional;A
11798;Processo de Aplicação de Medida de Segurança Por Fato Não Criminoso;A
11799;Instrução Provisória de Insubmissão;A
11800;Instrução Provisória de Deserção;A
11875;Reclamação Pré-processual;A
11880;Recurso Extraordinário com Agravo;A
11881;Agravo em Recurso Especial;A
11882;Recurso de Revista com Agravo;A
11886;Recurso Ordinário - Rito Sumaríssimo;A
11887;Acompanhamento de Cumprimento de Decisão;A
11888;Ato Normativo;A
11889;Nota Técnica;A
11890;Parecer de Mérito sobre Anteprojeto de Lei;A
11891;Procedimento de Controle Administrativo;A
11892;Revisão Disciplinar;A
11893;Reclamação para Garantia das Decisões;A
11894; Comissão;A
11953;Arguição de Suspeição e de Impedimento;A
11955;Cautelar Inominada Criminal;A
11956;Embargos de Divergência em Agravo em Recurso Especial;A
12059;Suspensão de Segurança - Eleitoral;A
12060;Incidente de Impedimento/Suspeição;A
12070;Pedido de Medida de Proteção;A
12071;Procedimentos Cautelares;A
12072;Busca e Apreensão Infracional;A
12073;Internação Provisória;A
12074;Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida;A
12075;Procedimento Conciliatório;A
12076;Restabelecimento do Poder Familiar;A
12077;Homologação em Acordo de Colaboração Premiada;A
12078;Cumprimento de Sentença contra a Fazenda Pública;A
12079;Execução de Título Extrajudicial contra a Fazenda Pública;A
12080;Incidente de Impedimento Cível;A
12081;Incidente de Suspeição Cível;A
12082;Carta Arbitral;A
12085;Incidente de Resolução de Demandas Repetitivas;A
12086;Dissolução Parcial de Sociedade;A
12087;Incidente de Assunção de Competência;A
12118;Suspensão em Incidente de Resolução de Demandas Repetitivas;A
12119;Incidente de Desconsideração de Personalidade Jurídica;A
12121;Comunicado de Mandado de Prisão;A
12122;Reclamação Criminal;A
