codigo_movimento;descricao_movimento;situacao
12208;Não-Ratificação;A
12209;Liminar;A
12210;Ratificação em Parte;A
12211;Liminar;A
12212;Prorrogação de PAD;A
12213;Decisão Monocrática;A
12214;Processo Encaminhado;A
12215;Processo devolvido à Secretaria;A
12252;Sentença confirmada;A
12253;Sentença confirmada em parte;A
12254;Sentença desconstituída;A
12255;Redistribuição por prevenção;A
12256;Continência;A
12257;Definição de tese jurídica em incidentes repetitivos;A
12258;Emissão de juízo de retratação pelo Órgão Julgador;A
12259;Prescrição intercorrente (art. 921, § 4º, CPC);A
12260;Autos restaurados;A
12261;Emenda a inicial;A
12263;Intimação;A
12264;Eletrônica;A
12265;Expedida/certificada;A
12266;Confirmada;A
12267;Em audiência;A
12268;Em Secretaria;A
12269;Desentranhamento;A
12270;Documento;A
12271;Petição;A
12272;Declinada a competência;A
12273;Convertido em diligência;A
12274;Sobrestado;A
12275;Retificado;A
12276;Cumprimento da pena;A
12277;Início;A
12278;Fim;A
12280;Interrupção;A
12281;Comunicação eletrônica;A
12282;Expedida/Certificada;A
12283;Confirmada;A
12284;Citação;A
12285;Em Secretaria/Comparecimento Espontâneo;A
12286;Eletrônica;A
12287;Expedida/Certificada;A
12288;Confirmada;A
12289;Cancelamento;A
12290;Documento Expedido;A
12291;Movimentação processual;A
12292;Ato cumprido pela parte ou interessado;A
12293;Ato cumprido pela parte ou interessado (sem atributo);A
12294;Comparecimento do Réu/Apenado;A
12295;Depósito de Bens/Dinheiro;A
12296;Registro Processual;A
12297;Atribuição de competência;A
12298;Cancelamento de Dívida Ativa;A
12299;Prorrogação de cumprimento de pena/medida de segurança;A
12300;Nomeação;A
12301;Advogado Voluntário;A
12302;Curador;A
12303;Defensor Dativo;A
12304;Intérprete/Tradutor;A
12305;Outros auxiliares de justiça;A
12306;Perito;A
12307;Decretação de revelia;A
12308;Substituição/Sucessão da Parte;A
12309;Retirada;A
12310;Pauta;A
12311;Pedido de inclusão;A
12312;Retirar pedido de inclusão;A
12313;Pedido de Inclusão em Pauta de Sessão Virtual;A
12314;Pedido de Retirada de Pauta de Sessão Virtual;A
12315;Devolvidos os autos;A
12318;Reconhecimento de prevenção;A
12319;Não conhecimento do pedido;A
12320;Denegação de prevenção;A
12321;Parecer;A
12322;Favorável;A
12323;Favorável em parte;A
12324;Desfavorável;A
12325;Perda do objeto;A
12326;Consulta;A
12327;Respondida;A
12328;Respondida em parte;A
12329;Pedido conhecido em parte e procedente;A
12330;Pedido conhecido em parte e procedente em parte;A
12331;Pedido conhecido em parte e improcedente;A
12332;Prorrogado prazo de conclusão;A
12359;Liminar Prejudicada;A
12387;Decisão de Saneamento e Organização;A
12421;Juízo provisório para medidas urgentes;A
12422;Devolução da carta rogatória ao juízo rogante;A
12425;Unificação de Medidas Socioeducativas;A
12427;Agravo em recurso especial ;A
12428;Reclamação;A
12429;Embargos de Divergência;A
12430;Arquivamento;A
12431;Embargos ;A
12432;Afetação;A
12433;Conjunto Agravo e Recurso Especial;A
12434;Conhecimento para dar provimento ao Recurso Especial ;A
12435;Conhecimento para negar provimento ao recurso especial;A
12436;Conhecimento para não conhecer do Recurso Especial;A
12438;conhecimento para dar parcial provimento ao recurso especial;A
12439;conhecimento para conhecer em parte o recurso especial e dar provimento ;A
12440;conhecimento para conhecer em parte o recurso especial e negar provimento;A
12441;Conhecimento para conhecer o recurso especial;A
12442;conhecimento para conhecer em parte o recurso especial ;A
12443;conhecimento em parte para dar provimento ao recurso especial;A
12444;deferimento;A
12445;Recurso Ordinário;A
12446;Afetação tornada sem efeito;A
12448;Demonstração de existência de repercussão geral e  manifestação sobre a questão constitucional;A
12450;impugnação à execução;A
12451;Procedência;A
12452;procedência parcial;A
12453;improcedência;A
12454;Pedido de Uniformização de Interpretação de Lei;A
12455;Indeferimento;A
12456;Recurso Ordinário;A
12457;Expedição de precatório/rpv;A
12458;Não conhecimento do habeas corpus;A
12459;Prejudicado;A
12467;Desistência de pedido;A
12472;Devolução dos autos à origem ;A
12473;agravo em recurso especial ;A
12474;Distribuição;A
12475;Habeas Corpus de ofício;A
12476;Medida Protetiva da Lei Maria da Penha Determinada por Autoridade Policial;A
12477;Não-Homologação;A
12479;Medida Protetiva da Lei Maria da Penha Determinada por Autoridade Policial;A
12522;Auxiliar da Justiça;A
12523;Conciliador;A
12524;Juiz Leigo;A
12525;Mediador;A
12526;Conciliação;A
12527;Mediação;A
12528;Conciliação;A
12529;Decisão;A
12530;Conciliação;A
12531;Frutífera;A
12532;Infrutífera;A
12533;Frutífera;A
12534;Infrutífera;A
12535;Frutífera;A
12536;Infrutífera;A
12539;Infrutífera;A
12540;Frutífera;A
12548;Expedição de alvará de levantamento;A
12606;Remessa negociação consumidor.gov.br;A
12607;Recebimento negociação consumidor.gov.br;A
12608;Parcial;A
12609;Parcial;A
12610;Parcial;A
12611;Parcial;A
12614;Remessa para o CEJUSC ou Centros de Conciliação/Mediação;A
12616;Composição Civil dos Danos;A
12619;Recebimento do CEJUSC ou Centros de Conciliação/Mediação;A
12621;Recebimento no CEJUSC ou Centros de Conciliação/Mediação;A
12622;Remessa para Câmara de Conciliação/Mediação;A
12623;Recebimento de Câmara de Conciliação/Mediação;A
12624;Audiência do art. 334 CPC;A
12646;Determinada a Redistribuição;A
12647;Mantida a Distribuição do Processo;A
12648;Determinação de Diligência;A
12649;Homologação do Pedido;A
12650;Não Homologado o Pedido;A
12651;Contas Não Prestação;A
12652;Contas Aprovadas;A
12653;Contas Desaprovadas;A
12654;Contas Aprovadas com Ressalvas;A
12655;Identificada Possível Dissidência Partidária;A
12657;Partido Movimentado;A
12658;Sistema de Candidaturas Fechado;A
12659;Totalização de Eleições Efetuada;A
12660;Deferimento do Pedido de Registro de Candidatura;A
12661;Impugnação do Registro de Candidatura;A
12662;Cassação do Registro de Candidatura;A
12663;Cancelamento do Pedido de Registro de Candidatura;A
12664;Movimentar Partido;A
12666;Procedência da Impugnação (Registro Deferido);A
12667;Procedência da Impugnação (Registro Indeferido);A
12668;Procedência em Parte da Impugnação (Registro Deferido);A
12669;Procedência em Parte da Impugnação (Registro Indeferido);A
12670;Procedência em Parte da Impugnação (Registro Cancelado);A
12672;Procedência em Parte da Impugnação (Registro Cassado);A
12673;Não-Procedência da Impugnação (Registro Deferido);A
12674;Não-Procedência da Impugnação (Registro Indeferido);A
12675;Não-Procedência da Impugnação (Registro Cancelado);A
12676;Não-Procedência da Impugnação (Registro Cassado);A
12677;Procedência da Impugnação (Registro Cancelado);A
12678;Registro de Candidatura;A
12679;Provimento (Registro Deferido);A
12680;Provimento (Registro Indeferido);A
12681;Provimento (Registro Cancelado);A
12682;Provimento (Registro Cassado);A
12683;Provimento (Registro Sem Julgamento);A
12684;Provimento em Parte (Registro Deferido);A
